danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,time_signature
0.727,0.761,0,-5.686,0,0.436,0.619,0.0,0.077,0.706,91.108,3rqmxZNh2BRgJ3BiCPFTSG,240160,4
0.574,0.639,0,-5.508,0,0.0373,0.523,1.03e-06,0.0912,0.585,75.504,4QWno5VXD5LMpoQQlNrJNQ,229325,4
0.848,0.627,5,-6.319,0,0.305,0.185,0.0,0.0562,0.772,87.958,7hank1dOJsHakKfvRjhnej,212727,4
0.679,0.707,11,-7.27,0,0.034,0.0437,0.00464,0.0881,0.502,116.021,5HTh3JXK9mJBigQkPNfJCc,202200,4
0.877,0.481,1,-7.538,1,0.167,0.0608,0.0,0.0924,0.378,123.979,3ZSJ9dq65zznUM20jfZqbu,158741,4
0.853,0.76,11,-7.423,0,0.275,0.472,2.4e-06,0.098,0.639,104.986,548azCoBz3imDTaxPBn0xC,196040,4
0.79,0.629,9,-7.172,1,0.138,0.179,0.0,0.356,0.833,124.063,4e34Qq2lkp92egwgjacVcT,127742,4
0.743,0.73,10,-4.314,0,0.125,0.287,8.1e-05,0.0778,0.15,179.972,4uP3pUP18ennmz0tb3GphR,197968,4
0.681,0.716,11,-8.677,0,0.0865,0.493,0.000365,0.336,0.713,97.96,5EsbTDpcbgut3KH10u77Cs,196378,4
0.528,0.624,11,-6.613,0,0.0301,0.391,0.0,0.0777,0.374,80.051,6bE0o9hYUPYlokZIH79oM0,298893,4
0.711,0.517,11,-7.695,1,0.0391,0.154,0.0,0.149,0.294,119.945,7GbAp0HKPQW7WnFJAzMoRk,204516,4
0.804,0.479,11,-6.661,1,0.0321,0.494,0.0,0.0994,0.462,120.0,72pv4E0eBIcE9z8V4tPHui,228484,4
0.899,0.625,0,-5.359,1,0.0965,0.00357,0.00535,0.0586,0.761,140.023,2aXA19q9hOLYZAcU2wCWP8,187770,4
0.673,0.717,11,-11.39,0,0.0578,0.142,1.2e-06,0.0638,0.83,149.64,1RUCPYCK0A2JyiJQ1CnNtc,224587,4
0.828,0.689,7,-7.878,1,0.0326,0.325,0.0384,0.0808,0.853,123.931,40FLJc17FMZaPmCQEEZgB0,216027,4
0.669,0.801,8,-5.445,1,0.136,0.268,0.0,0.0594,0.541,109.919,4PkIDTPGedm0enzdvilLNd,201072,4
0.539,0.884,9,-6.53,1,0.0403,0.382,0.00166,0.76,0.752,100.812,4NtUY5IGzHCaqfZemmAu56,230693,4
0.897,0.757,4,-5.243,0,0.236,0.702,0.0,0.0779,0.613,140.038,7rLegaz7zKB6EtDNzcslKE,240000,4
0.597,0.686,1,-8.523,0,0.0255,0.000156,0.00633,0.0931,0.318,88.002,1yaFHifoHlN5MEtL5YEgA4,281227,4
0.794,0.5,8,-7.881,1,0.205,0.434,0.0,0.111,0.539,159.969,0ZhhdqaoYK0LVjoyVzSoJb,177000,4
